"","terms","freq"
"1","support",7182
"2","care",6971
"3","worker",6520
"4","manager",3443
"5","disability",3346
"6","workers",3122
"7","community",2763
"8","coordinator",2593
"9","aged",2450
"10","officer",2303
"11","nurse",2192
"12","personal",2094
"13","registered",1838
"14","services",1718
"15","assistant",1465
"16","health",1397
"17","case",1368
"18","home",1344
"19","consultant",1223
"20","youth",1190
"21","team",1185
"22","carer",1080
"23","employment",1052
"24","family",1025
"25","service",1015
"26","physiotherapist",989
"27","nsw",940
"28","leader",939
"29","program",898
"30","nursing",886
"31","casual",885
"32","senior",866
"33","time",846
"34","assistants",806
"35","sydney",790
"36","level",768
"37","social",764
"38","mental",726
"39","area",712
"40","residential",675
"41","enrolled",670
"42","practitioner",626
"43","part",607
"44","ndis",577
"45","clinical",560
"46","lifestyle",544
"47","wanted",542
"48","entry",524
"49","development",516
"50","child",514
"51","administration",512
"52","opportunities",491
"53","volunteer",474
"54","psychologist",466
"55","therapist",459
"56","2",449
"57","local",448
"58","nurses",448
"59","south",448
"60","facilitator",437
"61","work",434
"62","counsellor",432
"63","specialist",428
"64","occupational",423
"65","aboriginal",408
"66","carers",404
"67","general",401
"68","north",388
"69","ain",382
"70","project",381
"71","region",381
"72","business",380
"73","northern",375
"74","required",371
"75","west",366
"76","brisbane",353
"77","client",335
"78","executive",330
"79","regional",324
"80","domestic",316
"81","inhome",314
"82","coast",312
"83","suburbs",310
"84","vic",306
"85","grade",303
"86","clinician",294
"87","trainee",289
"88","placement",281
"89","advisor",273
"90","endorsed",269
"91","director",261
"92","full",258
"93","western",258
"94","employee",250
"95","engagement",248
"96","transition",243
"97","des",233
"98","now",225
"99","violence",224
"100","hill",221
"101","speech",217
"102","contract",210
"103","homecare",209
"104","qld",205
"105","positions",204
"106","practice",202
"107","management",201
"108","professional",201
"109","recruitment",201
"110","volunteers",201
"111","centre",199
"112","park",197
"113","pathologist",197
"114","caseworker",196
"115","rehabilitation",196
"116","direct",194
"117","operations",193
"118","job",189
"119","melbourne",187
"120","alcohol",185
"121","assessment",182
"122","fundraising",182
"123","coach",180
"124","new",178
"125","east",176
"126","3",175
"127","intake",175
"128","eastern",171
"129","intervention",171
"130","permanent",171
"131","1",166
"132","adelaide",162
"133","uniting",161
"134","facility",159
"135","pca",158
"136","programs",158
"137","victoria",157
"138","children",154
"139","roles",154
"140","bay",153
"141","acfi",151
"142","foster",150
"143","drug",147
"144","outreach",146
"145","recovery",146
"146","central",144
"147","aod",143
"148","attendant",143
"149","metro",143
"150","parttime",142
"151","rn",142
"152","chief",141
"153","indigenous",141
"154","position",141
"155","interest",140
"156","group",139
"157","unit",138
"158","beaches",137
"159","southern",137
"160","training",137
"161","early",136
"162","people",135
"163","s",130
"164","activities",129
"165","mentor",128
"166","cairns",127
"167","practitioners",127
"168","financial",125
"169","sunshine",125
"170","young",125
"171","inner",124
"172","term",123
"173","house",122
"174","sales",121
"175","professionals",120
"176","allied",119
"177","role",119
"178","act",117
"179","x",117
"180","respite",116
"181","supervisor",115
"182","therapeutic",115
"183","female",114
"184","gp",113
"185","hills",113
"186","quality",113
"187","administrator",112
"188","st",112
"189","jobactive",111
"190","liaison",111
"191","managers",111
"192","housing",110
"193","month",110
"194","day",109
"195","peer",109
"196","educator",108
"197","wellbeing",107
"198","12",106
"199","fixed",106
"200","mount",106
"201","darwin",105
"202","canberra",104
"203","shifts",104
"204","toowoomba",104
"205","australia",103
"206","2016",102
"207","families",102
"208","intensive",102
"209","locum",102
"210","maintenance",102
"211","experienced",101
"212","townsville",101
"213","based",100
"214","research",100
"215","army",99
"216","accommodation",98
"217","inclusion",96
"218","office",96
"219","access",95
"220","midwife",95
"221","available",94
"222","education",94
"223","employees",94
"224","mountains",94
"225","staff",93
"226","caregiver",92
"227","corporate",92
"228","ryde",92
"229","identified",91
"230","sutherland",91
"231","wagga",91
"232","rostering",90
"233","springs",90
"234","hours",89
"235","information",88
"236","risk",88
"237","behaviour",87
"238","blue",87
"239","district",87
"240","private",87
"241","leisure",86
"242","port",86
"243","ceo",85
"244","parramatta",85
"245","plus",85
"246","traineeship",85
"247","account",84
"248","perth",84
"249","customer",83
"250","expression",82
"251","protection",82
"252","programme",81
