"","terms","freq"
"1","teacher",10875
"2","school",4838
"3","early",4681
"4","childhood",4291
"5","assistant",3926
"6","educator",3611
"7","officer",3579
"8","manager",2831
"9","care",2750
"10","casual",2674
"11","diploma",2528
"12","childcare",2190
"13","support",2175
"14","education",2166
"15","coordinator",2113
"16","senior",1976
"17","nanny",1903
"18","centre",1764
"19","trainer",1752
"20","leader",1675
"21","teachers",1655
"22","lecturer",1615
"23","research",1603
"24","educators",1443
"25","classroom",1395
"26","child",1362
"27","learning",1343
"28","services",1341
"29","director",1336
"30","primary",1266
"31","business",1241
"32","iii",1221
"33","room",1201
"34","time",1191
"35","student",1189
"36","qualified",1138
"37","high",1079
"38","administration",1077
"39","required",1053
"40","certificate",963
"41","2",960
"42","english",945
"43","head",932
"44","work",904
"45","principal",866
"46","teaching",864
"47","program",840
"48","development",837
"49","level",822
"50","needed",807
"51","sydney",786
"52","part",768
"53","weneedanannycomau",762
"54","secondary",747
"55","science",745
"56","fellow",726
"57","1",702
"58","consultant",702
"59","3",660
"60","contract",654
"61","public",644
"62","ect",641
"63","training",641
"64","project",639
"65","technology",617
"66","assessor",616
"67","lead",607
"68","north",605
"69","wanted",603
"70","associate",592
"71","position",582
"72","melbourne",581
"73","year",580
"74","graduate",572
"75","health",572
"76","cert",567
"77","oshc",564
"78","nsw",554
"79","aide",551
"80","advisor",548
"81","tutor",524
"82","community",522
"83","administrative",515
"84","mathematics",513
"85","college",509
"86","2016",508
"87","worker",507
"88","professor",505
"89","state",504
"90","management",501
"91","hours",495
"92","trainee",479
"93","special",475
"94","looking",464
"95","day",459
"96","ed",433
"97","academic",432
"98","1range",422
"99","preschool",417
"100","service",417
"101","full",410
"102","deputy",403
"103","brisbane",401
"104","positions",397
"105","parttime",396
"106","information",392
"107","advisory",389
"108","sales",387
"109","music",384
"110","supervisor",384
"111","start",381
"112","family",377
"113","maths",374
"114","south",373
"115","pair",365
"116","au",362
"117","team",362
"118","trainers",359
"119","nurse",358
"120","relief",355
"121","clinical",353
"122","experienced",348
"123","west",348
"124","administrator",347
"125","nursing",346
