"","terms","freq"
"1","officer",20097
"2","manager",9042
"3","senior",7645
"4","nurse",5007
"5","project",4273
"6","support",3663
"7","services",3643
"8","assistant",3499
"9","health",3345
"10","service",3112
"11","coordinator",2972
"12","analyst",2684
"13","business",2639
"14","registered",2562
"15","clinical",2370
"16","grade",2314
"17","director",1971
"18","government",1964
"19","executive",1906
"20","specialist",1843
"21","administration",1840
"22","team",1807
"23","community",1712
"24","policy",1682
"25","development",1670
"26","2",1647
"27","management",1625
"28","leader",1566
"29","care",1541
"30","level",1524
"31","program",1463
"32","unit",1392
"33","teacher",1315
"34","worker",1315
"35","customer",1310
"36","principal",1283
"37","contract",1269
"38","advisor",1265
"39","school",1204
"40","consultant",1142
"41","medical",1133
"42","3",1124
"43","engineer",1108
"44","casual",1089
"45","planning",1060
"46","clerk",1042
"47","finance",1004
"48","mental",997
"49","centre",991
"50","child",957
"51","general",947
"52","communications",942
"53","time",939
"54","nsw",936
"55","local",904
"56","information",898
"57","systems",892
"58","planner",883
"59","operations",861
"60","procurement",834
"61","therapist",831
"62","physiotherapist",805
"63","staff",805
"64","technical",799
"65","army",785
"66","1",781
"67","occupational",781
"68","aps",778
"69","enrolled",772
"70","safety",767
"71","officers",766
"72","technician",750
"73","supervisor",720
"74","social",699
"75","security",681
"76","administrative",676
"77","educator",676
"78","operator",655
"79","temporary",652
"80","compliance",650
"81","12",641
"82","education",637
"83","payroll",625
"84","data",622
"85","sydney",621
"86","ft",613
"87","emergency",606
"88","administrator",589
"89","psychologist",586
"90","part",580
"91","engagement",578
"92","department",576
"93","6",573
"94","research",568
"95","legal",550
"96","strategic",549
"97","state",545
"98","reserve",539
"99","nursing",538
"100","practitioner",538
"101","financial",535
"102","4",532
"103","risk",530
"104","x",526
"105","office",522
"106","early",515
"107","maintenance",508
"108","aboriginal",504
"109","regional",500
"110","governance",497
"111","driver",496
"112","public",480
"113","protection",470
"114","lead",469
"115","hospital",461
"116","property",461
"117","positions",445
"118","aps6",436
"119","performance",436
"120","fulltime",435
"121","graduate",434
"122","permanent",432
"123","asset",427
"124","chief",426
"125","5",419
"126","childhood",419
"127","delivery",418
"128","building",415
"129","contracts",413
"130","family",413
"131","civil",412
"132","corporate",409
"133","month",407
"134","trainee",403
"135","clinician",401
"136","transport",392
"137","client",391
"138","environmental",388
"139","full",388
"140","digital",387
"141","accountant",386
"142","term",381
"143","work",381
"144","area",379
"145","quality",379
"146","assessment",375
"147","speech",375
"148","primary",370
"149","ict",368
"150","liaison",366
"151","south",366
"152","midwife",365
"153","learning",363
"154","melbourne",363
"155","interest",359
"156","council",358
"157","division",356
"158","youth",356
"159","disability",355
"160","representative",353
"161","human",349
"162","nurses",349
"163","professional",349
"164","training",349
"165","infrastructure",348
"166","change",341
"167","projects",340
"168","gp",337
"169","adviser",331
"170","associate",331
"171","federal",330
"172","works",326
"173","location",324
"174","case",315
"175","roles",315
"176","advanced",314
