"","terms","freq"
"1","nurse",15139
"2","registered",11176
"3","manager",9019
"4","care",7076
"5","clinical",4649
"6","assistant",4621
"7","nurses",3855
"8","aged",3753
"9","health",3724
"10","medical",3649
"11","dental",3639
"12","general",3423
"13","locum",3331
"14","gp",3098
"15","specialist",2354
"16","practitioner",2250
"17","officer",2161
"18","enrolled",2159
"19","senior",2131
"20","time",2105
"21","sales",2102
"22","unit",1930
"23","consultant",1798
"24","vr",1770
"25","nsw",1678
"26","coordinator",1643
"27","practice",1596
"28","hospital",1570
"29","pharmacy",1570
"30","physiotherapist",1527
"31","nursing",1521
"32","sydney",1520
"33","representative",1437
"34","services",1374
"35","brisbane",1366
"36","mental",1343
"37","pharmacist",1322
"38","director",1300
"39","rn",1253
"40","facility",1226
"41","casual",1211
"42","registrar",1204
"43","coast",1188
"44","therapist",1186
"45","research",1163
"46","associate",1159
"47","full",1158
"48","territory",1145
"49","qld",1137
"50","permanent",1116
"51","melbourne",1096
"52","2",1071
"53","north",1067
"54","grade",1046
"55","part",1009
"56","suburbs",982
"57","medicine",978
"58","south",971
"59","theatre",957
"60","endorsed",915
"61","registrarpho",865
"62","emergency",860
"63","occupational",825
"64","community",814
"65","required",813
"66","private",784
"67","technician",744
"68","icu",722
"69","ed",717
"70","receptionist",699
"71","surgical",658
"72","rehabilitation",650
"73","west",644
"74","service",634
"75","dws",630
"76","job",620
"77","junior",618
"78","regional",610
"79","team",601
"80","dentist",596
"81","vic",594
"82","sonographer",590
"83","eastern",580
"84","educator",577
"85","1",567
"86","staff",566
"87","gold",552
"88","radiologist",545
"89","support",533
"90","rns",531
"91","cardiac",529
"92","contract",509
"93","area",506
"94","new",506
"95","experienced",503
"96","leader",486
"97","psychologist",473
"98","ward",471
"99","role",469
"100","midwife",464
"101","clinician",456
"102","wa",450
"103","rural",449
"104","ft",446
"105","3",444
"106","account",442
"107","acfi",442
"108","northern",439
"109","position",435
"110","recovery",434
"111","australia",433
"112","rehab",431
"113","western",430
"114","acute",423
"115","pt",423
"116","oncology",413
"117","level",411
"118","inner",408
"119","radiographer",406
"120","fulltime",403
"121","anaesthetics",401
"122","east",399
"123","residential",399
"124","business",398
"125","anaesthetic",387
"126","clinic",387
"127","orthopaedic",386
"128","critical",377
"129","scrub",374
"130","needed",370
"131","queensland",370
"132","shifts",363
"133","remote",361
"134","product",357
"135","perth",349
"136","scientist",349
"137","management",348
"138","fellow",337
"139","region",335
"140","day",334
"141","perioperative",334
"142","parttime",330
"143","scrubscout",330
"144","cbd",329
"145","2016",327
"146","centre",327
"147","intensive",325
"148","development",323
"149","surgery",323
"150","operating",321
"151","physician",321
"152","home",320
"153","paediatric",320
