"","terms","freq"
"1","legal",6650
"2","lawyer",5711
"3","secretary",3687
"4","senior",2630
"5","years",2353
"6","litigation",2311
"7","assistant",2098
"8","property",2097
"9","pae",2044
"10","commercial",2034
"11","associate",1988
"12","sydney",1829
"13","pqe",1813
"14","corporate",1697
"15","law",1696
"16","firm",1580
"17","attorney",1458
"18","new",1217
"19","cbd",1126
"20","counsel",1004
"21","personal",915
"22","melbourne",902
"23","insurance",852
"24","south",821
"25","paralegal",799
"26","wales",768
"27","construction",719
"28","junior",690
"29","family",675
"30","role",649
"31","solicitor",621
"32","victoria",616
"33","banking",559
"34","2",557
"35","staff",557
"36","finance",555
"37","partner",538
"38","brisbane",533
"39","manager",521
"40","24",505
"41","clerk",504
"42","conveyancing",504
"43","5",500
"44","team",494
"45","employment",486
"46","lawyers",442
"47","estate",436
"48","4",431
"49","contract",425
"50","level",410
"51","receptionist",408
"52","inhouse",404
"53","3",395
"54","35",378
"55","real",373
"56","national",367
"57","planning",366
"58","25",350
"59","queensland",346
"60","ma",340
"61","administrator",333
"62","administration",328
"63","officer",325
"64","practice",325
"65","yrs",324
"66","insolvency",323
"67","leading",322
"68","tier",322
"69","intermediate",312
"70","month",307
"71","environment",304
"72","pa",293
"73","injury",290
"74","office",284
"75","consultant",280
"76","executive",278
"77","services",278
"78","support",266
"79","12",261
"80","6",261
"81","opportunity",252
"82","relations",248
"83","sa",241
"84","time",238
"85","top",234
"86","mid",216
"87","perth",212
"88","workers",204
"89","36",202
"90","roles",195
"91","work",192
"92","business",191
"93","australia",190
"94","intellectual",190
"95","workplace",188
"96","estates",186
"97","conveyancer",180
"98","patent",180
"99","development",179
"100","part",172
"101","projects",168
"102","experienced",166
"103","start",158
"104","company",157
"105","compensation",157
"106","government",156
"107","general",153
"108","year",153
"109","student",152
"110","wills",152
"111","technology",150
"112","specialist",147
"113","boutique",145
"114","recruitment",145
"115","professional",141
"116","temp",137
"117","resolution",136
"118","administrative",134
"119","dispute",131
"120","migration",131
"121","western",131
"122","23",129
"123","best",128
"124","special",128
"125","tax",128
"126","temporary",126
"127","1",123
"128","analyst",122
"129","career",121
"130","experience",120
"131","corporatecommercial",119
"132","graduate",118
"133","rare",118
"134","medical",116
"135","criminal",115
"136","leasing",115
"137","financial",114
"138","international",114
"139","global",113
"140","defendant",112
"141","end",110
"142","negligence",109
"143","disputes",108
"144","float",108
"145","leader",108
"146","great",106
"147","parttime",106
"148","ip",105
"149","trade",105
"150","operator",103
"151","coordinator",102
"152","client",101
"153","corporatema",101
"154","project",101
"155","13",99
"156","8",99
"157","agent",99
"158","newcastle",99
"159","public",99
"160","restructuring",97
"161","fast",96
"162","plaintiff",96
"163","join",95
"164","46",94
"165","48",93
"166","health",93
"167","permanent",93
"168","coast",92
"169","workcover",92
"170","group",91
"171","managing",89
"172","secretaries",89
"173","immediate",88
"174","management",88
"175","paced",88
"176","ea",87
"177","litigator",87
"178","move",85
"179","premier",85
"180","canberra",84
"181","energy",84
"182","front",84
"183","full",82
"184","partners",81
"185","private",81
"186","resources",81
"187","contracts",80
"188","toptier",80
"189","location",79
"190","interest",78
"191","midtier",78
"192","indemnity",77
"193","opportunities",77
"194","liability",76
"195","admin",75
"196","compliance",75
"197","multiple",75
"198","director",74
"199","exciting",74
"200","focus",74
"201","gold",74
"202","adelaide",70
"203","advisory",70
"204","head",70
"205","principal",70
"206","34",69
"207","available",69
"208","class",67
"209","east",66
"210","7",65
"211","house",65
"212","exclusive",64
"213","london",64
"214","registered",64
"215","advisor",63
"216","associatesenior",63
"217","trainee",63
"218","funds",62
"219","middle",62
"220","service",62
"221","26",61
"222","assistants",61
"223","based",61
"224","information",61
"225","infrastructure",61
"226","developer",59
"227","mark",59
