"","terms","freq"
"1","operator",1496
"2","manager",1099
"3","fitter",895
"4","operators",767
"5","plant",760
"6","technician",622
"7","maintenance",619
"8","electrician",572
"9","supervisor",542
"10","mechanical",527
"11","fitters",511
"12","underground",486
"13","truck",484
"14","fifo",461
"15","coordinator",451
"16","mining",439
"17","engineer",425
"18","senior",422
"19","mine",413
"20","advisor",390
"21","officer",385
"22","shutdown",370
"23","assistant",358
"24","interest",358
"25","mobile",324
"26","project",323
"27","fixed",319
"28","safety",315
"29","eoi",307
"30","dump",305
"31","specialist",303
"32","experienced",302
"33","superintendent",300
"34","drillers",298
"35","electrical",297
"36","boilermaker",289
"37","site",262
"38","hse",261
"39","production",261
"40","heavy",259
"41","planner",256
"42","diesel",255
"43","operations",253
"44","administrator",248
"45","electricians",228
"46","field",226
"47","required",225
"48","service",221
"49","analyst",217
"50","boilermakers",214
"51","excavator",211
"52","driller",210
"53","driver",208
"54","health",205
"55","hd",193
"56","blast",189
"57","expressions",189
"58","gas",189
"59","drill",182
"60","duty",180
"61","geologist",179
"62","expression",173
"63","process",169
"64","work",165
"65","business",159
"66","perth",154
"67","contract",151
"68","trades",150
"69","technical",149
"70","trade",147
"71","services",146
"72","scaffolders",135
"73","residential",134
"74","assistants",132
"75","auto",129
"76","hv",129
"77","crew",127
"78","lead",126
"79","sales",121
"80","warehouse",117
"81","technicians",115
"82","coal",112
"83","team",109
"84","contracts",107
"85","start",106
"86","term",105
"87","belt",104
"88","systems",104
"89","offsiders",102
"90","water",102
"91","kalgoorlie",100
"92","21",99
"93","based",99
"94","casual",99
"95","skilled",99
"96","support",99
"97","development",98
"98","commercial",97
"99","civil",96
"100","hole",96
"101","offsider",95
"102","general",94
"103","mechanic",94
"104","controller",93
"105","mt",93
"106","environment",92
"107","hand",92
"108","leading",92
"109","nsw",92
"110","advanced",91
"111","management",91
"112","shotfirer",91
"113","construction",90
"114","indigenous",90
"115","karratha",90
"116","planning",90
"117","roster",90
"118","north",89
"119","quarry",88
"120","training",88
"121","local",86
"122","drivers",84
"123","multi",81
"124","riggers",80
"125","improvement",79
"126","mc",79
"127","plumber",79
"128","immediate",78
"129","industrial",78
"130","instrumentation",78
"131","leader",78
"132","loader",78
"133","procurement",78
"134","hseq",77
"135","rigger",77
"136","shutdowns",77
"137","oil",76
"138","workers",76
"139","2",75
"140","supervisors",75
"141","administration",74
"142","positions",74
"143","consultant",73
"144","inducted",73
"145","scheduler",72
"146","inspector",71
"147","labourer",71
"148","environmental",70
"149","exploration",70
"150","job",70
"151","rubber",70
"152","wanted",70
"153","welders",70
"154","energy",68
"155","high",68
"156","labourers",68
"157","quality",68
"158","shift",68
"159","control",67
"160","logistics",67
"161","open",67
"162","storeperson",67
"163","chpp",66
"164","emergency",66
"165","surveyor",66
"166","crane",65
"167","geotechnical",65
"168","wa",65
"169","engineering",63
"170","x",63
"171","multiskilled",62
"172","ore",62
"173","rc",62
"174","equipment",61
"175","isa",61
"176","needed",61
"177","surface",61
"178","bu",60
"179","flsmidth",60
"180","iron",60
"181","krebs",60
"182","workshop",60
"183","moranbah",59
"184","time",59
"185","dozer",58
"186","ug",58
"187","gold",57
"188","power",57
"189","level",56
"190","port",56
"191","principal",56
"192","grader",55
"193","graduate",55
"194","shovel",54
"195","worker",54
"196","darwin",53
"197","splicers",53
"198","area",52
"199","rio",52
"200","data",51
"201","pit",51
"202","qld",51
"203","sydney",51
"204","trainer",51
"205","delivery",50
"206","risk",50
"207","welder",50
"208","brisbane",49
"209","offshore",49
"210","processing",49
"211","pump",49
"212","trainee",49
"213","multiple",48
"214","painter",48
"215","drilling",47
"216","hr",47
"217","rope",47
"218","access",46
"219","australia",46
"220","hedland",46
"221","miner",46
"222","supply",46
"223","3",45
"224","asset",45
"225","rounder",45
"226","scaffolder",45
"227","tyre",45
"228","month",44
"229","projects",44
"230","purchasing",44
"231","road",44
"232","serviceperson",44
"233","assurance",43
"234","laboratory",43
"235","nurse",43
"236","representative",43
"237","available",42
"238","category",42
"239","dewatering",42
"240","dragline",42
"241","maintainer",42
"242","regional",42
"243","splicer",42
"244","6",41
"245","dido",41
"246","document",41
"247","haul",41
"248","metallurgist",41
"249","train",41
"250","blackwater",40
"251","qualified",40
"252","security",40
"253","creek",39
"254","account",38
"255","class",38
"256","copper",38
"257","life",38
"258","liner",38
"259","new",38
"260","reporting",38
"261","resources",38
"262","capcoal",37
"263","machinist",37
"264","materials",37
"265","permanent",37
