"","terms","freq"
"1","manager",26552
"2","store",19171
"3","assistant",13618
"4","sales",13064
"5","retail",8384
"6","team",6025
"7","service",5316
"8","time",4940
"9","casual",4731
"10","woolworths",4716
"11","customer",4586
"12","fashion",4129
"13","member",3875
"14","consultant",3265
"15","part",2780
"16","super",2509
"17","sydney",2236
"18","full",2177
"19","merchandiser",1852
"20","brand",1691
"21","wanted",1651
"22","nsw",1646
"23","coles",1541
"24","cbd",1524
"25","new",1473
"26","senior",1463
"27","melbourne",1452
"28","replenishment",1401
"29","required",1385
"30","retailer",1373
"31","baker",1363
"32","qualified",1324
"33","leader",1235
"34","beauty",1220
"35","representative",1158
"36","area",1112
"37","brisbane",1092
"38","vic",1042
"39","salesperson",993
"40","managers",954
"41","specialist",948
"42","qld",924
"43","shop",902
"44","womens",901
"45","asap",877
"46","officer",875
"47","south",871
"48","trade",853
"49","warehouse",843
"50","opportunities",823
"51","needed",819
"52","business",818
"53","cashier",806
"54","agents",791
"55","24ph",790
"56","ladies",784
"57","associate",775
"58","suburbs",772
"59","bws",763
"60","luxury",762
"61","experience",758
"62","supervisor",747
"63","department",739
"64","centre",734
"65","personal",723
"66","support",702
"67","driver",700
"68","north",700
"69","mystery",699
"70","person",686
"71","management",685
"72","visual",673
"73","coordinator",669
"74","bondi",659
"75","counter",656
"76","wa",654
"77","furniture",631
"78","international",626
"79","city",624
"80","work",614
"81","leading",613
"82","comms",607
"83","therapist",599
"84","merchandise",596
"85","high",591
"86","training",588
"87","deli",580
"88","park",578
"89","branch",576
"90","professional",572
"91","perth",570
"92","butcher",568
"93","hill",565
"94","coast",561
"95","showroom",559
"96","assistants",558
"97","location",557
"98","flagship",555
"99","advisor",552
"100","phone",546
"101","role",546
"102","australian",545
"103","produce",540
"104","central",538
"105","start",535
"106","myer",534
"107","street",532
"108","bonus",528
"109","planner",527
"110","designer",525
"111","regional",522
"112","hairdresser",514
"113","jewellery",511
"114","shoppers",506
"115","menswear",504
"116","experienced",500
"117","members",500
"118","week",499
"119","west",497
"120","s",493
"121","50k",492
"122","consultants",491
"123","delivery",486
"124","st",486
"125","staff",480
"126","eastern",478
"127","banker",477
"128","services",474
"129","optical",469
"130","big",466
"131","fulltime",462
"132","home",461
"133","apprentice",460
"134","miranda",457
"135","telstra",456
"136","chadstone",452
"137","parttime",452
"138","restaurant",449
"139","cotton",447
"140","looking",447
"141","doncaster",446
"142","bonuses",439
"143","boutique",438
"144","bakery",427
