"","terms","freq"
"1","home",352
"2","work",290
"3","business",208
"4","sales",96
"5","opportunity",92
"6","employment",85
"7","hours",82
"8","based",78
"9","income",69
"10","now",69
"11","boss",68
"12","self",68
"13","time",65
"14","specialist",58
"15","grout",53
"16","tile",53
"17","2016",52
"18","flexible",51
"19","potential",50
"20","needed",46
"21","online",44
"22","recruitment",44
"23","exec",39
"24","change",37
"25","manager",37
"26","mums",35
"27","apply",34
"28","consultants",34
"29","success",34
"30","dads",33
"31","experienced",33
"32","looking",32
"33","new",31
"34","consultant",30
"35","required",30
"36","rns",29
"37","start",29
"38","seeking",28
"39","marketing",25
"40","training",25
"41","create",24
"42","greater",24
"43","individuals",24
"44","lifestyle",23
"45","life",22
"46","nurses",22
"47","school",22
"48","financial",21
"49","direction",20
"50","industry",20
"51","learn",20
"52","part",20
"53","program",20
"54","eens",19
"55","serious",19
"56","95",18
"57","registered",18
"58","wanted",18
"59","full",17
"60","personal",17
"61","stay",17
"62","catalogue",16
"63","mumsdadsself",16
"64","senior",16
"65","career",15
"66","experts",15
"67","mumsdads",15
"68","earn",14
"69","freedom",14
"70","make",14
"71","midwives",14
"72","company",13
"73","development",13
"74","dreaded",13
"75","global",13
"76","mondays",13
"77","shifts",13
"78","want",13
"79","physiotherapist",12
"80","5",11
"81","award",11
"82","course",11
"83","distributors",11
"84","general",11
"85","just",11
"86","sea",11
"87","winning",11
"88","care",10
"89","executive",10
"90","health",10
"91","professionals",10
"92","engineer",9
"93","forever",9
"94","fresh",9
"95","harder",9
"96","lifebusiness",9
"97","quit",9
"98","race",9
"99","rat",9
"100","sack",9
"101","smarter",9
"102","software",9
"103","today",9
"104","allied",8
"105","based5",8
"106","gp",8
"107","icu",8
"108","lifebusinessapply",8
"109","nesteggbiz",8
"110","nurse",8
"111","rewarding",8
"112","analyst",7
"113","become",7
"114","brisbane",7
"115","coast",7
"116","dual",7
"117","emergency",7
"118","enrolled",7
"119","evaluation",7
"120","fire",7
"121","great",7
"122","leap",7
"123","professional",7
"124","qa",7
