"","terms","freq"
"1","personal",1268
"2","fitness",743
"3","trainer",722
"4","manager",600
"5","trainers",493
"6","sports",486
"7","sales",434
"8","instructor",424
"9","wanted",419
"10","coach",416
"11","consultant",334
"12","membership",334
"13","coordinator",309
"14","club",278
"15","goodlife",274
"16","swim",230
"17","physiotherapist",208
"18","officer",199
"19","gymnastics",197
"20","health",193
"21","group",187
"22","assistant",185
"23","training",170
"24","gym",153
"25","service",152
"26","casual",151
"27","time",144
"28","coaches",142
"29","people",140
"30","centre",135
"31","development",132
"32","instructors",132
"33","clubs",114
"34","minded",112
"35","teacher",107
"36","team",106
"37","anytime",104
"38","next",96
"39","senior",95
"40","swimming",95
"41","member",94
"42","customer",90
"43","lifeguard",87
"44","needed",87
"45","school",86
"46","leader",85
"47","pilates",85
"48","sport",84
"49","exercise",82
"50","business",80
"51","general",78
"52","gen",75
"53","required",74
"54","full",71
"55","part",71
"56","sydney",68
"57","snap",65
"58","opportunity",64
"59","operations",62
"60","learn",61
"61","hypoxi",60
"62","marketing",60
"63","park",60
"64","director",59
"65","pool",58
"66","supervisor",58
"67","industry",56
"68","start",56
"69","studio",56
"70","experienced",55
"71","soccer",55
"72","available",54
"73","football",54
"74","private",54
"75","new",53
"76","leisure",51
"77","aquatic",49
"78","genesis",49
"79","immediate",49
"80","specialist",49
"81","amazing",48
"82","qualified",48
"83","south",48
"84","head",46
"85","nsw",46
"86","attendant",45
"87","practice",45
"88","jetts",44
"89","program",44
"90","administration",43
"91","job",43
"92","sector",43
"93","f45",42
"94","pt",42
"95","superstars",42
"96","executive",41
"97","staff",41
"98","support",41
"99","direct",39
"100","247",37
"101","experience",37
"102","receptionist",37
"103","services",37
"104","work",37
"105","vision",36
"106","junior",35
"107","administrator",34
"108","coast",34
"109","melbourne",34
"110","recreation",34
"111","cbd",33
"112","lifestyle",33
"113","wellness",33
"114","level",32
"115","rugby",32
"116","coaching",31
"117","netball",31
"118","unique",31
"119","analyst",30
"120","livein",30
"121","st",30
"122","australia",29
"123","consultants",29
"124","duty",29
