"class_id"	"class_description"	"sub_class_id"	"sub_class_description"
"1200"	"Accounting"	"1303"	"Accounts Payable"
"1200"	"Accounting"	"1468"	"Payroll"
"1200"	"Accounting"	"6140"	"Accounts Officers/Clerks"
"1200"	"Accounting"	"6141"	"Accounts Receivable/Credit Control"
"1200"	"Accounting"	"6142"	"Assistant Accountants"
"1200"	"Accounting"	"6143"	"Analysis & Reporting"
"1200"	"Accounting"	"6144"	"Audit - External"
"1200"	"Accounting"	"6145"	"Audit - Internal"
"1200"	"Accounting"	"6146"	"Bookkeeping & Small Practice Accounting"
"1200"	"Accounting"	"6147"	"Business Services & Corporate Advisory"
"1200"	"Accounting"	"6148"	"Company Secretaries"
"1200"	"Accounting"	"6149"	"Compliance & Risk"
"1200"	"Accounting"	"6150"	"Cost Accounting"
"1200"	"Accounting"	"6151"	"Financial Accounting & Reporting"
"1200"	"Accounting"	"6152"	"Financial Managers & Controllers"
"1200"	"Accounting"	"6153"	"Forensic Accounting & Investigation"
"1200"	"Accounting"	"6154"	"Insolvency & Corporate Recovery"
"1200"	"Accounting"	"6155"	"Inventory & Fixed Assets"
"1200"	"Accounting"	"6156"	"Management"
"1200"	"Accounting"	"6157"	"Management Accounting & Budgeting"
"1200"	"Accounting"	"6158"	"Strategy & Planning"
"1200"	"Accounting"	"6159"	"Systems Accounting & IT Audit"
"1200"	"Accounting"	"6160"	"Taxation"
"1200"	"Accounting"	"6161"	"Treasury"
"1200"	"Accounting"	"6162"	"Other"
"1203"	"Banking & Financial Services"	"1352"	"Client Services"
"1203"	"Banking & Financial Services"	"1392"	"Financial Planning"
"1203"	"Banking & Financial Services"	"1404"	"Funds Management"
"1203"	"Banking & Financial Services"	"6174"	"Account & Relationship Management"
"1203"	"Banking & Financial Services"	"6175"	"Analysis & Reporting"
"1203"	"Banking & Financial Services"	"6176"	"Banking - Retail/Branch"
"1203"	"Banking & Financial Services"	"6177"	"Banking - Business"
"1203"	"Banking & Financial Services"	"6178"	"Banking - Corporate & Institutional"
"1203"	"Banking & Financial Services"	"6179"	"Compliance & Risk"
"1203"	"Banking & Financial Services"	"6180"	"Corporate Finance & Investment Banking"
"1203"	"Banking & Financial Services"	"6181"	"Credit"
"1203"	"Banking & Financial Services"	"6182"	"Management"
"1203"	"Banking & Financial Services"	"6183"	"Mortgages"
"1203"	"Banking & Financial Services"	"6184"	"Settlements"
"1203"	"Banking & Financial Services"	"6185"	"Stockbroking & Trading"
"1203"	"Banking & Financial Services"	"6186"	"Treasury"
"1203"	"Banking & Financial Services"	"6187"	"Other"
"1204"	"Call Centre & Customer Service"	"6084"	"Collections"
"1204"	"Call Centre & Customer Service"	"6085"	"Customer Service - Call Centre"
"1204"	"Call Centre & Customer Service"	"6086"	"Customer Service - Customer Facing"
"1204"	"Call Centre & Customer Service"	"6087"	"Management & Support"
"1204"	"Call Centre & Customer Service"	"6088"	"Sales - Inbound"
"1204"	"Call Centre & Customer Service"	"6089"	"Sales - Outbound"
"1204"	"Call Centre & Customer Service"	"6090"	"Supervisors/Team Leaders"
"1204"	"Call Centre & Customer Service"	"6091"	"Other"
"1206"	"Construction"	"1387"	"Estimating"
"1206"	"Construction"	"6113"	"Contracts Management"
"1206"	"Construction"	"6114"	"Foreperson/Supervisors"
"1206"	"Construction"	"6115"	"Health, Safety & Environment"
"1206"	"Construction"	"6116"	"Management"
"1206"	"Construction"	"6117"	"Planning & Scheduling"
"1206"	"Construction"	"6118"	"Plant & Machinery Operators"
"1206"	"Construction"	"6119"	"Project Management"
"1206"	"Construction"	"6120"	"Quality Assurance & Control"
"1206"	"Construction"	"6121"	"Surveying"
"1206"	"Construction"	"6122"	"Other"
"1209"	"Engineering"	"6022"	"Aerospace Engineering"
"1209"	"Engineering"	"6023"	"Automotive Engineering"
"1209"	"Engineering"	"6024"	"Building Services Engineering"
"1209"	"Engineering"	"6025"	"Engineering Drafting"
"1209"	"Engineering"	"6026"	"Chemical Engineering"
"1209"	"Engineering"	"6027"	"Civil/Structural Engineering"
"1209"	"Engineering"	"6028"	"Electrical/Electronic Engineering"
"1209"	"Engineering"	"6029"	"Environmental Engineering"
"1209"	"Engineering"	"6030"	"Field Engineering"
"1209"	"Engineering"	"6031"	"Industrial Engineering"
"1209"	"Engineering"	"6032"	"Maintenance"
"1209"	"Engineering"	"6033"	"Management"
"1209"	"Engineering"	"6034"	"Materials Handling Engineering"
"1209"	"Engineering"	"6035"	"Mechanical Engineering"
"1209"	"Engineering"	"6036"	"Process Engineering"
"1209"	"Engineering"	"6037"	"Project Management"
"1209"	"Engineering"	"6038"	"Project Engineering"
"1209"	"Engineering"	"6039"	"Supervisors"
"1209"	"Engineering"	"6040"	"Systems Engineering"
"1209"	"Engineering"	"6041"	"Water & Waste Engineering"
"1209"	"Engineering"	"6042"	"Other"
"1210"	"Government & Defence"	"1314"	"Air Force"
"1210"	"Government & Defence"	"1322"	"Army"
"1210"	"Government & Defence"	"1378"	"Emergency Services"
"1210"	"Government & Defence"	"1409"	"Government - Federal"
"1210"	"Government & Defence"	"1410"	"Government - Local"
"1210"	"Government & Defence"	"1411"	"Government - State"
"1210"	"Government & Defence"	"1450"	"Navy"
"1210"	"Government & Defence"	"6356"	"Government"
"1210"	"Government & Defence"	"6357"	"Local Government"
"1210"	"Government & Defence"	"6358"	"Regional Council"
"1210"	"Government & Defence"	"6359"	"Police & Corrections"
"1210"	"Government & Defence"	"6360"	"Policy, Planning & Regulation"
"1210"	"Government & Defence"	"6361"	"Other"
"1211"	"Healthcare & Medical"	"1353"	"Clinical/Medical Research"
"1211"	"Healthcare & Medical"	"1372"	"Dental"
"1211"	"Healthcare & Medical"	"1386"	"Environmental Services"
"1211"	"Healthcare & Medical"	"1467"	"Pathology"
"1211"	"Healthcare & Medical"	"1470"	"Pharmacy"
"1211"	"Healthcare & Medical"	"6329"	"Ambulance/Paramedics"
"1211"	"Healthcare & Medical"	"6330"	"Chiropractic & Osteopathic"
"1211"	"Healthcare & Medical"	"6331"	"Dieticians"
"1211"	"Healthcare & Medical"	"6332"	"General Practitioners"
"1211"	"Healthcare & Medical"	"6333"	"Management"
"1211"	"Healthcare & Medical"	"6334"	"Medical Administration"
"1211"	"Healthcare & Medical"	"6335"	"Medical Imaging"
"1211"	"Healthcare & Medical"	"6336"	"Medical Specialists"
"1211"	"Healthcare & Medical"	"6337"	"Natural Therapies & Alternative Medicine"
"1211"	"Healthcare & Medical"	"6338"	"Nursing - A&E, Critical Care & ICU"
"1211"	"Healthcare & Medical"	"6339"	"Nursing - Aged Care"
"1211"	"Healthcare & Medical"	"6340"	"Nursing - Community, Maternal & Child Health"
"1211"	"Healthcare & Medical"	"6341"	"Nursing - Educators & Facilitators"
"1211"	"Healthcare & Medical"	"6342"	"Nursing - General Medical & Surgical"
"1211"	"Healthcare & Medical"	"6343"	"Nursing - High Acuity"
"1211"	"Healthcare & Medical"	"6344"	"Nursing - Management"
"1211"	"Healthcare & Medical"	"6345"	"Nursing - Midwifery, Neo-Natal, SCN & NICU"
"1211"	"Healthcare & Medical"	"6346"	"Nursing - Paediatric & PICU"
"1211"	"Healthcare & Medical"	"6347"	"Nursing - Psych, Forensic & Correctional Health"
"1211"	"Healthcare & Medical"	"6348"	"Nursing - Theatre & Recovery"
"1211"	"Healthcare & Medical"	"6349"	"Optical"
"1211"	"Healthcare & Medical"	"6350"	"Pharmaceuticals & Medical Devices"
"1211"	"Healthcare & Medical"	"6351"	"Psychology, Counselling & Social Work"
"1211"	"Healthcare & Medical"	"6352"	"Physiotherapy, OT & Rehabilitation"
"1211"	"Healthcare & Medical"	"6353"	"Sales"
"1211"	"Healthcare & Medical"	"6354"	"Speech Therapy"
"1211"	"Healthcare & Medical"	"6355"	"Other"
"1211"	"Healthcare & Medical"	"6370"	"Residents & Registrars"
"1212"	"Hospitality & Tourism"	"1315"	"Airlines"
"1212"	"Hospitality & Tourism"	"1332"	"Bar & Beverage Staff"
"1212"	"Hospitality & Tourism"	"1405"	"Gaming"
"1212"	"Hospitality & Tourism"	"1415"	"Housekeeping"
"1212"	"Hospitality & Tourism"	"1537"	"Tour Guides"
"1212"	"Hospitality & Tourism"	"1542"	"Travel Agents/Consultants"
"1212"	"Hospitality & Tourism"	"1549"	"Waiting Staff"
"1212"	"Hospitality & Tourism"	"6052"	"Chefs/Cooks"
"1212"	"Hospitality & Tourism"	"6053"	"Front Office & Guest Services"
"1212"	"Hospitality & Tourism"	"6054"	"Kitchen & Sandwich Hands"
"1212"	"Hospitality & Tourism"	"6055"	"Management"
"1212"	"Hospitality & Tourism"	"6056"	"Reservations"
"1212"	"Hospitality & Tourism"	"6057"	"Other"
"1214"	"Insurance & Superannuation"	"1350"	"Claims"
"1214"	"Insurance & Superannuation"	"1499"	"Risk Consulting"
"1214"	"Insurance & Superannuation"	"1524"	"Superannuation"
"1214"	"Insurance & Superannuation"	"1544"	"Underwriting"
"1214"	"Insurance & Superannuation"	"1553"	"Workers' Compensation"
"1214"	"Insurance & Superannuation"	"6275"	"Actuarial"
"1214"	"Insurance & Superannuation"	"6276"	"Assessment"
"1214"	"Insurance & Superannuation"	"6277"	"Brokerage"
"1214"	"Insurance & Superannuation"	"6278"	"Fund Administration"
"1214"	"Insurance & Superannuation"	"6279"	"Management"
"1214"	"Insurance & Superannuation"	"6280"	"Other"
"1216"	"Legal"	"1429"	"Law Clerks & Paralegals"
"1216"	"Legal"	"1431"	"Legal Secretaries"
"1216"	"Legal"	"6188"	"Banking & Finance Law"
"1216"	"Legal"	"6189"	"Criminal & Civil Law"
"1216"	"Legal"	"6190"	"Construction Law"
"1216"	"Legal"	"6191"	"Corporate & Commercial Law"
"1216"	"Legal"	"6192"	"Environment & Planning Law"
"1216"	"Legal"	"6193"	"Family Law"
"1216"	"Legal"	"6194"	"Generalists - In-house"
"1216"	"Legal"	"6195"	"Generalists - Law Firm"
"1216"	"Legal"	"6196"	"Industrial Relations & Employment Law"
"1216"	"Legal"	"6197"	"Insurance & Superannuation Law"
"1216"	"Legal"	"6198"	"Intellectual Property Law"
"1216"	"Legal"	"6199"	"Legal Practice Management"
"1216"	"Legal"	"6200"	"Litigation & Dispute Resolution"
"1216"	"Legal"	"6201"	"Personal Injury Law"
"1216"	"Legal"	"6202"	"Property Law"
"1216"	"Legal"	"6203"	"Tax Law"
"1216"	"Legal"	"6204"	"Other"
"1220"	"Real Estate & Property"	"1546"	"Valuation"
"1220"	"Real Estate & Property"	"6001"	"Analysts"
"1220"	"Real Estate & Property"	"6002"	"Body Corporate & Facilities Management"
"1220"	"Real Estate & Property"	"6003"	"Commercial Sales, Leasing & Property Mgmt"
"1220"	"Real Estate & Property"	"6004"	"Residential Leasing & Property Management"
"1220"	"Real Estate & Property"	"6005"	"Residential Sales"
"1220"	"Real Estate & Property"	"6006"	"Retail & Property Development"
"1220"	"Real Estate & Property"	"6007"	"Other"
"1220"	"Real Estate & Property"	"6371"	"Administration"
"1223"	"Science & Technology"	"6215"	"Biological & Biomedical Sciences"
"1223"	"Science & Technology"	"6216"	"Biotechnology & Genetics"
"1223"	"Science & Technology"	"6217"	"Chemistry & Physics"
"1223"	"Science & Technology"	"6218"	"Environmental, Earth & Geosciences"
"1223"	"Science & Technology"	"6219"	"Food Technology & Safety"
"1223"	"Science & Technology"	"6220"	"Laboratory & Technical Services"
"1223"	"Science & Technology"	"6221"	"Materials Sciences"
"1223"	"Science & Technology"	"6222"	"Mathematics, Statistics & Information Sciences"
"1223"	"Science & Technology"	"6223"	"Modelling & Simulation"
"1223"	"Science & Technology"	"6224"	"Quality Assurance & Control"
"1223"	"Science & Technology"	"6225"	"Other"
"1225"	"Trades & Services"	"1313"	"Air Conditioning & Refrigeration"
"1225"	"Trades & Services"	"1328"	"Automotive Trades"
"1225"	"Trades & Services"	"1345"	"Carpentry & Cabinet Making"
"1225"	"Trades & Services"	"1406"	"Gardening & Landscaping"
"1225"	"Trades & Services"	"6226"	"Bakers & Pastry Chefs"
"1225"	"Trades & Services"	"6227"	"Building Trades"
"1225"	"Trades & Services"	"6228"	"Butchers"
"1225"	"Trades & Services"	"6229"	"Cleaning Services"
"1225"	"Trades & Services"	"6230"	"Electricians"
"1225"	"Trades & Services"	"6231"	"Fitters, Turners & Machinists"
"1225"	"Trades & Services"	"6232"	"Floristry"
"1225"	"Trades & Services"	"6233"	"Hair & Beauty Services"
"1225"	"Trades & Services"	"6234"	"Labourers"
"1225"	"Trades & Services"	"6235"	"Locksmiths"
"1225"	"Trades & Services"	"6236"	"Maintenance & Handyperson Services"
"1225"	"Trades & Services"	"6237"	"Nannies & Babysitters"
"1225"	"Trades & Services"	"6238"	"Painters & Sign Writers"
"1225"	"Trades & Services"	"6239"	"Printing & Publishing Services"
